yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
181702022,18170,2022,TN0010000,TN0010000,,N,N,,I,ANDERSON,ANDERSON CO SO CLINTON,Anderson,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,33960,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,63,105,168,5,38,43,2.0,6.2,1996-07-01,1997-05-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181712022,18171,2022,TN0010100,TN0010100,,N,N,,I,CLINTON,CLINTON PD,Clinton,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,10050,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,7,30,5,5,10,2.8,4.0,1996-07-01,1997-11-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181722022,18172,2022,TN0010200,TN0010200,,N,N,,I,ROCKY TOP,LAKE CITY PD,Rocky Top,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,3594,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,0,1,1.9,1.9,1996-07-01,1997-10-01,2004-07-01,2013-01-01,2015-06-01,2013-04-01,N,"ANDERSON, CAMPBELL","Knoxville, TN",Y,Y,Y
181732022,18173,2022,TN0010300,TN0010300,,N,N,,I,OAK RIDGE,OAK RIDGE PD,Oak Ridge,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,32243,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,49,11,60,9,4,13,1.8,2.3,1996-07-01,1997-08-01,2004-06-01,2013-01-01,2016-03-01,2016-03-01,N,"ANDERSON, ROANE","Knoxville, TN",Y,Y,Y
181742022,18174,2022,TN0010400,TN0010400,,N,N,,I,NORRIS,NORRIS PD,Norris,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1576,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,0,0,3.8,3.8,1996-07-01,1999-04-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181762022,18176,2022,TN0010600,TN0010600,,N,N,,I,7TH JUD DIST CRIME T F,SEVENTH JUDICIAL DISTRICT DRUG TASK FORCE,7th Judicial District Crime Task Force,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,0,7,0,0,0,0,0,1996-07-01,2013-01-01,2013-04-01,2013-04-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181782022,18178,2022,TN0020000,TN0020000,,N,N,,I,BEDFORD,BEDFORD CO SO SHELBYVILLE,Bedford,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,27259,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,48,2,50,6,5,11,2.0,2.2,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BEDFORD,Not Specified,Y,Y,Y
181792022,18179,2022,TN0020100,TN0020100,,N,N,,I,SHELBYVILLE,SHELBYVILLE PD,Shelbyville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,24160,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,41,1,42,7,10,17,2.0,2.4,1996-07-01,1999-02-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BEDFORD,Not Specified,Y,Y,Y
181822022,18182,2022,TN0030000,TN0030000,,N,N,,I,BENTON,BENTON CO SO CAMDEN,Benton,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,11781,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,17,17,34,3,16,19,1.7,4.5,1996-07-01,1999-03-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BENTON,Not Specified,Y,Y,Y
181832022,18183,2022,TN0030100,TN0030100,,N,N,,I,CAMDEN,CAMDEN PD,Camden,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,3711,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,2,13,2,4,6,3.5,5.1,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BENTON,Not Specified,Y,Y,Y
181842022,18184,2022,TN0030200,TN0030200,,N,N,,I,BIG SANDY,BIG SANDY PD,Big Sandy,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,484,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,2.1,2.1,1996-07-01,2000-09-01,2004-07-01,2013-01-01,2015-06-01,2013-05-01,N,BENTON,Not Specified,Y,Y,Y
181862022,18186,2022,TN0040000,TN0040000,,N,N,,I,BLEDSOE,BLEDSOE CO SO PIKEVILLE,Bledsoe,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,13698,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,11,15,26,1,7,8,0.9,2.5,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLEDSOE,Not Specified,Y,Y,Y
181872022,18187,2022,TN0040100,TN0040100,,N,N,,I,PIKEVILLE,PIKEVILLE PD,Pikeville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1889,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,2.1,2.1,1996-07-01,2000-08-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLEDSOE,Not Specified,Y,Y,Y
181892022,18189,2022,TN0050000,TN0050000,,N,N,,I,BLOUNT,BLOUNT CO SO MARYVILLE,Blount,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,95057,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,159,68,227,21,54,75,1.9,3.2,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLOUNT,"Knoxville, TN",Y,Y,Y
181902022,18190,2022,TN0050100,TN0050100,,N,N,,I,ALCOA,ALCOA PD,Alcoa,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,11689,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,41,2,43,6,5,11,4.0,4.6,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLOUNT,"Knoxville, TN",Y,Y,Y
181912022,18191,2022,TN0050200,TN0050200,,N,N,,I,MARYVILLE,MARYVILLE PD,Maryville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,32717,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,54,2,56,5,3,8,1.8,2.0,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLOUNT,"Knoxville, TN",Y,Y,Y
181942022,18194,2022,TN0050500,TN0050500,,N,N,,I,TOWNSEND,TOWNSEND PD,Townsend,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,598,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,0,0,10.0,10.0,1996-07-01,1999-07-01,2004-06-01,2013-01-01,2015-06-01,2013-05-01,N,BLOUNT,"Knoxville, TN",Y,Y,Y
181952022,18195,2022,TN0050600,TN0050600,,N,N,,I,DTF:5TH JUDICIAL DISTRIC,FIFTH JUDICIAL DISTRICT DRUG TASK FORCE,Drug Task Force:,5th Judicial District,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0,0,1996-07-01,1998-08-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLOUNT,"Knoxville, TN",Y,Y,Y
181962022,18196,2022,TN0050700,TN0050700,,N,N,,I,KNOXVILLE METRO AIRPORT,METRO KNOXVILLE AIRPORT AUTHORITY PD KNOXVILLE,Knoxville Metropolitan Airport,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,26,12,38,1,9,10,0,0,1996-07-01,1998-06-01,2004-08-01,2013-01-01,2015-06-01,2013-04-01,N,BLOUNT,"Knoxville, TN",Y,Y,Y
181982022,18198,2022,TN0060000,TN0060000,,N,N,,I,BRADLEY,BRADLEY CO SO CLEVELAND,Bradley,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,62653,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,89,68,157,17,39,56,1.7,3.4,1996-07-01,1997-12-01,2004-06-01,2013-01-01,2015-07-01,2013-05-01,N,BRADLEY,"Cleveland, TN",Y,Y,Y
181992022,18199,2022,TN0060100,TN0060100,,N,N,,I,CLEVELAND,CLEVELAND PD,Cleveland,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,48579,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,92,2,94,7,10,17,2.0,2.3,1996-07-01,1999-03-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BRADLEY,"Cleveland, TN",Y,Y,Y
182002022,18200,2022,TN0060200,TN0060200,,N,N,,I,CHARLESTON,CHARLESTON PD,Charleston,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,678,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,5.9,5.9,1996-07-01,1999-06-01,2004-07-01,2013-01-01,2015-06-01,2013-04-01,N,BRADLEY,"Cleveland, TN",Y,Y,Y
182012022,18201,2022,TN0060300,TN0060300,,N,N,,I,DTF:10TH JUDICIAL DISTRI,TENTH JUDICIAL DIST DRUG TASK FORCE CHARLESTON,Drug Task Force:,10th Judicial District,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,0,0,1996-07-01,1999-03-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BRADLEY,"Cleveland, TN",Y,Y,Y
182032022,18203,2022,TN0060500,TN0060500,,N,N,,I,CLEVELAND STATE COM COL,CLEVELAND STATE COMMUNITY COLLEGE SECURITY,Cleveland State Community College,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,University or College,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,2,0,2,0,0,1996-07-01,1998-01-01,2011-03-01,2013-11-01,2015-06-01,2013-11-01,N,BRADLEY,"Cleveland, TN",Y,Y,Y
182062022,18206,2022,TN0070000,TN0070000,,N,N,,I,CAMPBELL,CAMPBELL CO SO JACKSBORO,Campbell,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,24300,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,29,12,41,5,20,25,1.4,2.7,1996-07-01,1997-10-01,2004-12-01,2013-01-01,2015-06-01,2013-04-01,N,CAMPBELL,"Knoxville, TN",Y,Y,Y
182072022,18207,2022,TN0070100,TN0070100,,N,N,,I,JELLICO,JELLICO PD,Jellico,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,2131,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,0,7,0,1,1,3.3,3.8,1996-07-01,1998-06-01,2004-07-01,2013-01-01,2015-06-01,2013-04-01,N,CAMPBELL,"Knoxville, TN",Y,Y,Y
182082022,18208,2022,TN0070200,TN0070200,,N,N,,I,LA FOLLETTE,LA FOLLETTE PD,La Follette,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,7271,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,4,10,14,2.8,4.1,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,CAMPBELL,"Knoxville, TN",Y,Y,Y
