data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,5,147042163,3.000,1,12474282
2022,5,154492832,1.000,1,13564349
2022,5,154492684,10.000,1,13564315
2022,5,157596411,10.000,1,14011013
2022,12,157596427,5.000,1,14011020
2022,5,160549037,10.000,1,14413909
2022,4,147042125,1.300,1,12474274
2022,5,147042125,5.400,1,12474275
2022,12,147042139,2.740,1,12474277
2022,5,147042263,2.000,1,12474293
2022,12,147042177,1.400,1,12474284
2022,4,148369141,0.300,1,12661958
2022,5,148369035,0.250,7,12661902
2022,8,151820106,2.000,1,13155512
2022,17,151820106,7.000,9,13155513
2022,5,148369148,0.250,7,12661964
2022,5,148368994,0.100,1,12661885
2022,8,154483829,9.000,9,13562348
2022,12,148369079,0.710,1,12661920
2022,4,148369183,0.200,1,12661977
2022,12,148369020,18.240,1,12661896
2022,5,148369062,0.010,3,12661909
2022,12,148369060,3.000,1,12661908
2022,12,148369251,0.100,1,12662000
2022,5,148369201,0.010,7,12661986
2022,8,151820184,2.000,9,13155544
2022,12,151820184,1.000,1,13155545
2022,12,151820257,0.800,1,13155586
2022,5,151820288,22.800,1,13155597
2022,12,151820286,3.900,1,13155593
2022,5,151820361,0.020,1,13155627
2022,5,151820280,0.001,1,13155591
2022,5,151820316,0.001,1,13155606
2022,12,151820353,3.000,1,13155621
2022,5,151820451,1.600,1,13155662
2022,8,151820471,6.000,9,13155672
2022,12,151820263,2.000,1,13155587
2022,12,151820527,0.001,1,13155689
2022,17,151820527,2.000,9,13155690
2022,5,151820550,44.500,1,13155700
2022,12,151820589,5.000,1,13155723
2022,4,151820626,0.001,1,13155732
2022,5,151820626,1.500,1,13155733
2022,12,151820675,0.500,1,13155756
2022,12,151820560,1.100,1,13155706
2022,5,151820752,6.500,1,13155787
2022,5,154483970,0.100,7,13562367
2022,12,154484106,0.400,1,13562407
2022,5,154484085,0.200,7,13562402
2022,12,154484150,0.300,1,13562423
2022,12,154484270,3.200,1,13562449
2022,12,154484311,0.400,1,13562455
2022,4,154484108,0.600,1,13562408
2022,12,154484108,0.500,1,13562409
2022,5,154484135,0.001,1,13562418
2022,5,154484127,8.800,1,13562413
2022,16,154484127,10.000,9,13562414
2022,8,154484152,5.000,9,13562424
2022,12,154484255,0.001,1,13562447
2022,5,154484353,8.000,1,13562461
2022,5,154484391,2.400,1,13562474
2022,4,154484425,2.200,1,13562480
2022,5,154484300,2.200,1,13562452
2022,5,154484358,16.300,1,13562464
2022,13,154484358,2.000,9,13562465
2022,12,154484519,2.800,1,13562504
2022,8,154484446,7.000,9,13562486
2022,12,154484446,0.990,1,13562487
2022,12,154484397,0.440,1,13562475
2022,8,154484435,2.000,9,13562482
2022,15,154484435,1.000,9,13562483
2022,5,154484474,0.001,1,13562492
2022,5,154484525,0.450,3,13562507
2022,12,154484492,2.530,1,13562495
2022,17,154484492,7.000,9,13562496
2022,12,154484599,0.490,1,13562519
2022,5,154484430,8.070,1,13562481
2022,5,154484552,0.010,1,13562516
2022,5,154484594,1.000,1,13562517
